city,year,price
Павлодар,2012,760.0
Петропавловск,2012,949.0
Семей,2012,867.0
Талдыкорган,2012,749.0
Тараз,2012,641.0
Астана,2013,2398.0
Алматы,2013,2256.0
Шымкент,2013,785.0
Актау,2013,1985.0
Актобе,2013,1097.0
Атырау,2013,1368.0
Жезказган,2013,
Кокшетау,2013,919.0
Караганда,2013,1302.0
Конаев,2013,
Костанай,2013,989.0
Кызылорда,2013,860.0
Уральск,2013,875.0
Усть-Каменогорск,2013,1173.0
Павлодар,2013,877.0
Петропавловск,2013,1044.0
Семей,2013,1015.0
Талдыкорган,2013,749.0
Тараз,2013,684.0
Астана,2014,2778.0
Алматы,2014,2473.0
Шымкент,2014,1012.0
Актау,2014,2184.0
Актобе,2014,1128.0
Атырау,2014,1418.0
Жезказган,2014,
Кокшетау,2014,1200.0
Караганда,2014,1552.0
Конаев,2014,
Костанай,2014,1165.0
Кызылорда,2014,918.0
Уральск,2014,985.0
Усть-Каменогорск,2014,1310.0
Павлодар,2014,1045.0
Петропавловск,2014,1145.0
Семей,2014,1103.0
Талдыкорган,2014,879.0
Тараз,2014,723.0
Астана,2015,2732.0
Алматы,2015,2597.0
Шымкент,2015,1053.0
Актау,2015,1863.0
Актобе,2015,1281.0
Атырау,2015,1658.0
Жезказган,2015,
Кокшетау,2015,1226.0
Караганда,2015,1552.0
Конаев,2015,
Костанай,2015,1273.0
Кызылорда,2015,918.0
Уральск,2015,1016.0
Усть-Каменогорск,2015,1324.0
Павлодар,2015,1110.0
Петропавловск,2015,1145.0
Семей,2015,1103.0
Талдыкорган,2015,932.0
Тараз,2015,836.0
Астана,2016,2394.0
Алматы,2016,2328.0
Шымкент,2016,1117.0
Актау,2016,2016.0
Актобе,2016,1312.0
Атырау,2016,1658.0
Жезказган,2016,
Кокшетау,2016,1128.0
Караганда,2016,1552.0
Конаев,2016,
Костанай,2016,1273.0
Кызылорда,2016,950.0
Уральск,2016,1033.0
Усть-Каменогорск,2016,1275.0
Павлодар,2016,1045.0
Петропавловск,2016,1222.0
Семей,2016,1103.0
Талдыкорган,2016,1038.0
Тараз,2016,836.0
Астана,2017,2613.0
Алматы,2017,2250.0
Шымкент,2017,1150.0
Актау,2017,2016.0
Актобе,2017,1334.0
Атырау,2017,1658.0
Жезказган,2017,
Кокшетау,2017,1208.0
Караганда,2017,1586.0
Конаев,2017,
Костанай,2017,1290.0
Кызылорда,2017,1048.0
Уральск,2017,1073.0
Усть-Каменогорск,2017,1275.0
Павлодар,2017,1065.0
Петропавловск,2017,1262.0
Семей,2017,1103.0
Талдыкорган,2017,1038.0
Тараз,2017,932.0
Астана,2018,2689.0
Алматы,2018,2265.0
Шымкент,2018,1232.0
Актау,2018,2047.0
Актобе,2018,1334.0
Атырау,2018,1706.0
Жезказган,2018,
Кокшетау,2018,1254.0
Караганда,2018,1586.0
Конаев,2018,
Костанай,2018,1317.0
Кызылорда,2018,1096.0
Уральск,2018,1098.0
Усть-Каменогорск,2018,1306.0
Павлодар,2018,1140.0
Петропавловск,2018,1300.0
Семей,2018,1131.0
Талдыкорган,2018,1038.0
Тараз,2018,1015.0
Астана,2019,2821.0
Алматы,2019,2332.0
Шымкент,2019,1465.0
Актау,2019,2047.0
Актобе,2019,1350.0
Атырау,2019,1759.0
Жезказган,2019,
Кокшетау,2019,1377.0
Караганда,2019,1586.0
Конаев,2019,
Костанай,2019,1395.0
Кызылорда,2019,1220.0
Уральск,2019,1110.0
Усть-Каменогорск,2019,1377.0
Павлодар,2019,1421.0
Петропавловск,2019,1331.0
Семей,2019,1168.0
Талдыкорган,2019,1264.0
Тараз,2019,1104.0
Астана,2020,2919.0
Алматы,2020,2344.0
Шымкент,2020,1632.0
Актау,2020,2047.0
Актобе,2020,1457.0
Атырау,2020,1766.0
Жезказган,2020,
Кокшетау,2020,1419.0
Караганда,2020,1773.0
Конаев,2020,
Костанай,2020,1451.0
Кызылорда,2020,1293.0
Уральск,2020,1257.0
Усть-Каменогорск,2020,1470.0
Павлодар,2020,1730.0
Петропавловск,2020,1422.0
Семей,2020,1245.0
Талдыкорган,2020,1783.0
Тараз,2020,1298.0
Астана,2021,3685.0
Алматы,2021,3296.0
Шымкент,2021,2143.0
Актау,2021,2359.0
Актобе,2021,1746.0
Атырау,2021,2171.0
Жезказган,2021,
Кокшетау,2021,1573.0
Караганда,2021,2013.0
Конаев,2021,
Костанай,2021,1540.0
Кызылорда,2021,1431.0
Уральск,2021,1681.0
Усть-Каменогорск,2021,1721.0
Павлодар,2021,1970.0
Петропавловск,2021,1593.0
Семей,2021,1524.0
Талдыкорган,2021,1905.0
Тараз,2021,1370.0
Астана,2022,4614.0
Алматы,2022,5619.0
Шымкент,2022,2726.0
Актау,2022,3356.0
Актобе,2022,2472.0
Атырау,2022,2329.0
Жезказган,2022,1863.0
Кокшетау,2022,2175.0
Караганда,2022,3082.0
Конаев,2022,3650.0
Костанай,2022,2451.0
Кызылорда,2022,1880.0
Уральск,2022,2387.0
Усть-Каменогорск,2022,2168.0
Павлодар,2022,2464.0
Петропавловск,2022,2338.0
Семей,2022,2188.0
Талдыкорган,2022,2224.0
